old_code,current_code,old_last_seen,current_first_seen,announcements,old_code_relisted
PIM,EXT,2014-04-22,,2,1
DMY,FBR,2009-11-04,2016-09-12,1,0
TLU,FCT,2014-06-26,2022-05-06,1,0
IPB,FEL,2024-07-05,,1,0
EMG,FEX,2016-12-07,,2,0
ATH,FFG,2009-02-02,,1,1
AUT,FFM,2023-09-15,,2,0
LER,FGH,2014-11-27,2025-12-04,1,0
MRF,FGR,2014-03-17,2016-12-07,2,0
SUP,FHE,2018-12-17,,1,0
MHL,FIN,2008-11-07,2024-03-01,1,0
ACE,FL1,2015-03-20,2025-08-11,1,1
SAV,FLC,2008-01-11,2022-11-02,1,0
PAM,FLG,2024-09-12,2025-04-17,2,0
RMP,FME,2011-04-01,2023-09-18,2,0
ENX,FMN,2017-08-14,,1,0
NVO,FMR,2019-06-17,,1,1
FNT,FUN,2011-09-27,,2,0
LNR,FUN,2022-06-06,,1,0
TGD,FUN,2006-06-19,,1,0
EPG,FZR,2012-08-09,,1,0
ODM,G11,2023-09-28,,2,0
RPG,G1C,2024-08-26,,3,0
GTN,G6M,2005-10-10,,1,1
ASR,GA8,2022-05-30,,1,0
CFR,GA8,2010-02-18,,1,0
TNR,GA8,2014-04-17,,1,0
INK,GBL,2018-02-05,,1,0
PYM,GBL,2009-12-11,,4,0
GBZ,GBM,2025-12-05,,6,0
KRB,GCM,2013-07-26,2024-03-22,2,0
TTW,GCM,2017-08-18,2024-03-22,1,0
ACK,GDG,2009-12-22,2025-08-15,1,0
ELY,GEM,2010-05-27,2014-04-22,2,0
GAM,GG8,2004-02-12,,1,0
ONX,GG8,2018-06-15,,1,0
LDR,GGE,2004-06-02,2008-04-07,1,1
POZ,GIB,2014-06-27,,1,0
WSS,GLH,2006-05-09,2024-10-07,1,0
DMI,GLN,2014-04-17,2024-02-29,1,0
PMC,GLS,2025-04-14,,3,0
FRC,GSN,2014-06-25,2023-01-25,1,0
LTX,GT3,2014-02-10,,1,0
MBM,GTI,2021-05-17,,1,0
WGO,GTI,2014-05-16,,1,0
BSM,GW1,2007-08-31,,1,0
TPP,H2G,2014-06-26,,2,0
GKR,HAW,2003-09-17,,1,0
CAP,HIO,2008-05-05,,1,0
MDS,HMX,2014-04-17,2024-03-01,2,0
SHP,HT8,2015-08-10,,1,0
SWG,HT8,2004-01-16,,1,0
FDY,HUB,2008-10-28,2015-06-03,1,0
PSY,HYD,2016-09-12,2019-06-21,2,0
SYN,HYD,2003-03-05,2019-06-21,1,0
TNP,HYT,2021-12-22,2024-02-29,2,0
QTI,IAM,2008-07-16,2022-11-01,2,0
CFE,IBR,2007-03-14,,1,0
CLE,IBR,2023-09-14,,1,0
IXR,IDA,2011-09-12,2023-09-14,1,1
WGL,IFG,2017-05-22,,1,0
IFZ,IFT,2016-03-07,,2,0
CND,IGN,2010-06-28,2024-05-24,1,1
EUG,IIQ,2015-06-22,,1,0
TPS,IMB,2017-01-09,2025-04-11,1,0
OMT,IME,2015-12-14,2018-12-07,1,0
SWW,IME,2014-06-27,2018-12-07,1,0
PRR,IMM,2008-10-17,,1,0
ILF,INA,2006-02-13,2025-04-14,3,0
PLH,INF,2014-04-17,2024-02-27,1,0
FAT,INV,2007-12-03,2021-05-14,1,0
PDM,IOD,2013-11-06,2016-12-09,1,0
SAU,ION,2014-06-20,,1,0
LNU,IOV,2024-03-12,,1,0
BET,IPC,2007-12-03,2014-06-19,1,1
TIS,IVG,2009-12-14,,3,0
SNY,IVZ,2014-06-20,2024-06-17,1,0
EZE,IXR,2005-05-12,2023-09-13,1,0
OVL,IXR,2019-03-25,2023-09-13,1,0
HJB,JAN,2014-06-25,2018-10-08,1,0
VIC,JAV,2013-10-15,,1,0
QNL,JGH,2014-04-28,2024-03-01,2,0
JRL,JLL,2014-04-17,2024-03-01,3,0
GDY,JNS,2013-08-09,,1,0
WML,JPR,2005-02-04,2023-09-05,1,0
MBR,KBC,2007-04-23,2014-03-10,1,0
WAS,KPO,2011-06-28,,1,0
ENN,KYN,2025-06-13,,2,0
PTM,L1G,2024-05-27,,1,0
ADV,LAC,2023-09-14,,1,0
SAT,LAC,2014-11-10,,1,0
DCX,LAT,2021-07-16,,1,0
MNC,LCL,2018-10-04,2020-10-16,2,1
ECF,LED,2025-06-13,,3,0
TKL,LIB,2023-09-18,,1,0
CXB,LIT,2014-04-23,2024-03-01,1,0
MWN,LIT,2008-04-04,2024-03-01,1,0
SXT,LPE,2014-06-02,2018-04-13,1,0
HEG,LRM,2007-11-28,,1,0
PUA,LRM,2023-02-06,,2,0
ESH,LU7,2017-10-06,,1,0
KFE,M4M,2014-06-26,2025-04-11,1,0
FTL,M79,2023-04-18,2026-07-17,1,0
3DM,M7T,2015-03-04,2022-10-06,1,0
SFP,M7T,2014-06-27,2022-10-06,3,0
CR9,M96,2024-08-14,,4,0
STC,M96,2020-05-29,,1,0
BGR,MAN,2017-07-18,,1,0
JMB,MBH,2006-06-06,,1,0
LON,MBH,2019-08-02,,1,0
TPR,MCA,2012-04-30,2024-03-01,1,0
CNN,MCO,2014-04-23,,2,0
SES,MCO,2024-02-28,,1,0
IIG,MEK,2008-07-21,2023-07-07,2,0
IRG,MEK,2014-06-26,2023-07-07,1,0
ANM,MGL,2009-04-07,,1,0
MTE,MMI,2009-12-14,2022-07-06,1,0
APS,MML,2022-07-25,,1,0
ASC,MOM,2008-04-03,2024-03-01,2,0
DLC,MOM,2014-04-17,2024-03-01,1,0
MPG,MPK,2023-09-15,,1,0
S3R,MPW,2018-11-12,,1,0
HRZ,MRT,2023-09-12,2026-07-17,1,0
IRC,MRT,2003-12-02,2026-07-17,1,0
CAD,MTL,2014-04-17,2024-03-12,1,0
MRX,MTL,2008-04-03,2024-03-12,1,0
LRG,MYG,2008-04-03,2022-02-21,1,0
SGO,MYG,2014-04-24,2022-02-21,1,0
CCZ,NFM,2016-12-09,,2,0
HXG,NH3,2018-02-05,,1,0
OAU,NMG,2023-09-08,,1,0
MRY,NOR,2014-06-26,2021-10-29,3,0
DHR,NPM,2017-09-22,,1,0
HTG,NS1,2025-06-13,,2,0
CTN,NSC,2004-03-17,2018-02-23,1,1
RCP,NTM,2020-01-10,,1,0
PAA,NUZ,2023-09-15,2025-01-16,1,0
QUR,NVA,2003-09-17,2023-03-16,1,0
IRX,NX1,2021-10-29,,1,0
DGI,NXD,2013-03-18,2024-01-15,1,0
ICT,NXD,2020-10-05,2024-01-15,2,0
HEM,NXM,2008-04-08,2014-04-22,1,0
PAX,OAK,2008-01-17,2023-06-02,1,0
RYG,OAK,2015-07-17,2023-06-02,1,0
XPE,OAK,2016-08-31,2023-06-02,1,0
AIW,OB1,2011-03-03,,1,0
MRO,OB1,2010-04-19,,2,0
IMF,OBL,2017-12-08,2021-03-08,1,0
MAE,ODE,2015-08-12,2025-08-22,2,0
CXL,OEQ,2005-03-24,2008-04-07,1,1
AOU,OR3,2018-01-12,,1,0
ARE,ORP,2020-01-13,2026-02-27,4,0
IOU,OVT,2021-05-14,2026-08-10,1,0
OMI,OVT,2013-09-09,2026-08-10,2,0
TRG,PAC,2005-09-06,,1,0
MEH,PCK,2014-12-01,,1,0
ANP,PER,2012-01-05,,1,0
CAG,PFM,2024-03-04,,1,0
BCL,PFT,2018-06-29,,1,0
KAI,PGL,2025-02-14,,3,0
YAM,PGL,2003-01-28,,1,0
CNL,PHO,2019-02-08,,2,0
COO,PHX,2021-04-23,,1,0
MOO,PKY,2014-06-26,2026-03-27,5,0
SRO,PKY,2017-08-28,2026-03-27,1,0
HWK,PL9,2018-06-15,,1,1
MRL,PLA,2021-08-02,,1,0
FTN,PLS,2008-07-10,2011-06-14,1,0
CII,PRG,2023-09-18,,1,0
ASL,PRN,2019-04-18,,1,1
SYM,PTL,2004-09-16,2023-04-03,2,0
KIN,PTN,2024-03-04,,1,0
VHL,PTX,2013-07-30,2016-12-16,1,1
SFZ,PUR,2016-01-25,2018-11-22,1,0
LOD,PXR,2009-12-11,,3,0
EMS,RAP,2022-10-31,2026-06-26,1,0
AFV,RAS,2014-02-20,2021-07-16,2,0
SAM,RAS,2018-02-14,2021-07-16,2,0
GRP,RC1,2014-10-09,,6,0
TTL,RC1,2018-05-07,,1,0
SVC,RDN,2012-11-16,2020-02-07,1,0
SZG,RDN,2014-04-04,2020-02-07,1,0
CLY,REE,2018-10-29,,2,0
ICE,RFT,2006-08-16,,1,1
HEA,RGT,2011-12-02,,1,0
MXC,RGT,2023-09-01,,1,0
HNR,RIL,2023-09-07,,1,0
ICG,RKB,2024-03-22,,2,0
SLT,RNT,2015-01-05,,2,0
CVS,RR1,2008-09-26,2024-03-06,2,0
JWM,RRL,2003-09-17,2008-07-31,1,0
HNG,SBZ,2024-05-23,,1,0
INL,SDV,2007-04-04,,1,0
PNW,SEG,2011-05-05,,1,0
AQI,SGC,2025-05-16,,1,0
SVW,SGH,2015-05-18,,1,0
PEL,SHN,2015-07-31,,4,0
NVI,SHO,2014-04-22,2024-03-01,1,0
RHM,SHO,2011-06-17,2024-03-01,1,0
AWP,SIG,2005-12-02,,1,0
BSI,SKK,2013-06-27,,1,0
DOU,SKK,2024-03-05,,2,0
PGS,SKY,2014-12-10,2024-05-29,2,0
OEG,SNS,2016-04-07,2023-08-11,2,0
AR1,SP8,2016-12-06,,2,1
GIP,SP8,2009-05-12,,2,0
MWR,SPA,2011-09-02,2024-07-01,1,0
FOD,SPG,2016-04-28,,1,0
OJC,SPG,2024-03-01,,1,0
TEL,SPK,2014-06-17,2016-03-07,1,0
AJC,SPN,2016-12-02,2025-09-05,2,0
NRL,SPN,2008-04-04,2025-09-05,2,0
CRO,SPX,2018-02-12,,1,0
MVH,SPX,2009-08-05,,2,0
FSL,SRK,2005-03-24,2008-04-07,1,0
CLQ,SRL,2017-11-13,,2,0
BRD,SRN,2014-04-17,2023-11-07,2,0
TCI,SSM,2006-10-05,,1,0
AYR,STK,2019-03-01,2025-06-23,1,0
AVI,STM,2012-05-04,2017-10-26,1,0
SFN,STV,2015-02-25,,1,0
SW1,STV,2023-01-23,,2,0
RSN,SVG,2009-12-11,,4,0
AVD,TAL,2016-12-09,,5,1
HSC,TAL,2021-12-23,,1,0
R3D,TAT,2019-04-29,,1,0
VGP,TAT,2013-03-25,,1,0
AYF,TCF,2014-04-22,2020-10-15,2,0
MSR,TCG,2013-06-25,,1,0
AVX,TD1,2016-10-21,,2,0
MRK,TEG,2008-05-08,2017-01-19,1,0
ARW,TEK,2011-05-10,,1,0
ONC,TFL,2008-04-07,2018-08-21,1,0
GCX,TM1,2023-09-18,,1,0
BDI,TMS,2020-03-05,2024-03-01,1,0
WWM,TOP,2010-02-26,2015-05-18,2,0
BPO,TRI,2007-11-13,2023-12-12,1,0
DY6,TSK,2023-09-04,,1,0
PMA,TSL,2007-07-11,2023-09-18,1,0
COT,TSO,2014-05-19,,1,0
PKA,TSO,2016-08-31,,1,0
MTB,TXR,2024-02-29,,2,0
IFE,TYX,2008-04-07,2024-02-28,1,0
CM8,UNT,2022-10-31,2026-04-13,2,0
QXQ,UNT,2006-06-06,2026-04-13,1,0
GLA,USC,2023-04-03,,1,0
PRA,USM,2014-04-28,,1,0
PVW,USM,2024-02-29,,1,0
BRX,VAN,2023-09-13,,1,0
LCM,VBC,2019-10-11,,2,0
1ST,VFX,2018-03-05,,1,0
