code,current_code,announced_on,old_registry,new_registry,headline,classification,method,pdf_url
MMC,ASL,2024-05-17,Automic,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240517/pdf/063nj68h6nyv2r.pdf
BPT,BPT,2024-05-13,Computershare,Boardroom,Change of share registry provider,provider_change,appoint_plus_one,https://announcements.asx.com.au/asxpdf/20240513/pdf/063hlt0hq46g4l.pdf
KCN,KCN,2024-05-10,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240510/pdf/063fmb50h939tr.pdf
RMY,RMY,2024-04-26,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240426/pdf/062x49ckkydckv.pdf
CR9,M96,2024-04-22,Automic,Xcend,Change of share registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20240422/pdf/062qx90rkmbwh4.pdf
WSI,WSI,2024-04-22,Automic,Xcend,Change of share registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20240422/pdf/062qx4q1124jx2.pdf
CLZ,CLZ,2024-04-19,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,two_brands,https://announcements.asx.com.au/asxpdf/20240419/pdf/062npgfwpw9t53.pdf
HLX,HLX,2024-04-12,Computershare,Automic,Details of Share Registry address,address_only,from_to,https://announcements.asx.com.au/asxpdf/20240412/pdf/062g3snt8q91kn.pdf
RMI,RMI,2024-04-12,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240412/pdf/062gfbm8brv6nr.pdf
PKD,PKD,2024-04-05,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240405/pdf/062714zl7ldbq7.pdf
ETM,ETM,2024-04-02,Automic,Computershare,Change of Share Registry details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240402/pdf/0622sp9h9p2hj5.pdf
JGH,JGH,2024-03-28,Automic,Computershare,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240328/pdf/061z8v1mqr5jg7.pdf
BUR,BUR,2024-03-25,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240325/pdf/061vl4cf6271pg.pdf
SRK,SRK,2024-03-25,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240325/pdf/061v83d4zyhqsn.pdf
GCM,GCM,2024-03-22,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240322/pdf/061rxntc8jr9xw.pdf
HMY,HMY,2024-03-22,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240322/pdf/061rl3ctw9hf2w.pdf
ICG,RKB,2024-03-22,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240322/pdf/061s8p5ypb4mhk.pdf
TMG,AT4,2024-03-19,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240319/pdf/061nssj8bbbdfj.pdf
FIN,FIN,2024-03-18,Automic,Computershare,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240318/pdf/061m7vs34glp6m.pdf
AYA,AYA,2024-03-15,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240315/pdf/061kbt0hm237t0.pdf
NME,NME,2024-03-15,Advanced Share Registry,Automic,Share Registry Change,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240315/pdf/061k0jglc9ffjs.pdf
TOR,TOR,2024-03-15,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240315/pdf/061ktv2zhlnf0q.pdf
TX3,XRA,2024-03-15,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240315/pdf/061k8sw8jzj0df.pdf
SIX,SIX,2024-03-14,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240314/pdf/061j7p9s1934gv.pdf
DAL,DAL,2024-03-13,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240313/pdf/061g25nxt930cf.pdf
GRR,GRR,2024-03-12,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240312/pdf/061f7z4v0ffhqn.pdf
LNU,IOV,2024-03-12,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240312/pdf/061dfj8jf4xhmy.pdf
MRD,MRD,2024-03-12,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240312/pdf/061f7d4qbztt7l.pdf
MTL,MTL,2024-03-12,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240312/pdf/061f5zs2x6k5yv.pdf
HMD,HMD,2024-03-08,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20240308/pdf/0619ts7mky01xz.pdf
CR9,M96,2024-03-07,Advanced Share Registry,Automic,Change of share registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240307/pdf/0618fjs6zky9lf.pdf
WSI,WSI,2024-03-07,Advanced Share Registry,Automic,Change of share registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240307/pdf/0618j01652dbqc.pdf
ACS,ACS,2024-03-06,Advanced Share Registry,Automic,Details of Share Registry details,registry_other,from_to,https://announcements.asx.com.au/asxpdf/20240306/pdf/0616zqgf0czq8k.pdf
BBC,BBC,2024-03-06,Advanced Share Registry,Automic,Change of share registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240306/pdf/061720n1lh11n8.pdf
CTM,CTM,2024-03-06,Advanced Share Registry,Automic,CTM Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240306/pdf/06179qn82h2t48.pdf
KM1,KM1,2024-03-06,Advanced Share Registry,Automic,Change of Share Registry and Trading Policy,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240306/pdf/0616l221dnzb4q.pdf
RHT,RHT,2024-03-06,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240306/pdf/0616813gqgw8lm.pdf
RR1,RR1,2024-03-06,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240306/pdf/06178fhllrztmf.pdf
ASM,ASM,2024-03-05,Advanced Share Registry,Automic,Details of Share Registry address,address_only,from_to,https://announcements.asx.com.au/asxpdf/20240305/pdf/0615wh6yc3jmb2.pdf
AUQ,AUQ,2024-03-05,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240305/pdf/0615db8rl9v0s1.pdf
HFR,HFR,2024-03-05,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240305/pdf/0615wczvfhkh1r.pdf
IEQ,IEQ,2024-03-05,Advanced Share Registry,Automic,Change of Share Registry Details to Atomic,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240305/pdf/0615j38qc1ykks.pdf
MDX,MDX,2024-03-05,Advanced Share Registry,Automic,Details of Share Registry address,address_only,from_to,https://announcements.asx.com.au/asxpdf/20240305/pdf/0615wkb4dn9d2d.pdf
CKA,CKA,2024-03-04,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240304/pdf/0613spvs8n4l5g.pdf
HFY,HFY,2024-03-04,Advanced Share Registry,Automic,HFY Change of Share Registry - Details for Shareholders,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240304/pdf/0614g58wc610tz.pdf
CAG,PFM,2024-03-04,Advanced Share Registry,Automic,Details of Share Registry address,address_only,two_brands,https://announcements.asx.com.au/asxpdf/20240304/pdf/0613fr7wgx93kr.pdf
KIN,PTN,2024-03-04,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240304/pdf/0613ggmgtbpnx5.pdf
ZAG,ZAG,2024-03-04,Advanced Share Registry,Automic,Details of Share Registry address,address_only,two_brands,https://announcements.asx.com.au/asxpdf/20240304/pdf/0613ft9184zbd0.pdf
AAJ,AAJ,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0611t478xcqbpj.pdf
ACP,ACP,2024-03-01,Advanced Share Registry,Automic,Change of share registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0611y6qkqdp2j0.pdf
AMD,AMD,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/06127zh2wtpbjz.pdf
AQD,AQD,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0611b2j1t02sr3.pdf
AU1,AU1,2024-03-01,Advanced Share Registry,Automic,Change of share registry details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/06127hy10cp6y6.pdf
AX8,AX8,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/06126r4jlbpg9x.pdf
BMM,BMM,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612jrt8xjtjp0.pdf
CAQ,CAQ,2024-03-01,Advanced Share Registry,Automic,Details of Share Registry address,address_only,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612jgyh45pjl0.pdf
EL8,EL8,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/06120cy823hmxv.pdf
EQN,EMA,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Detail,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612bd4lg2q611.pdf
ETM,ETM,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Provider,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612fhqxpzv5t0.pdf
EVR,EVR,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612d9rsy49zgl.pdf
FIN,FIN,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0611cfxt1km7yx.pdf
PAM,FLG,2024-03-01,Advanced Share Registry,Automic,Change of Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/06129txpzfh104.pdf
FND,FND,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0611h77jv0cs6d.pdf
HMX,HMX,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/06123ygplvqfwf.pdf
HOR,HOR,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/061249c4dwsj3v.pdf
IPT,IPT,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612byml66xm18.pdf
JGH,JGH,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0611ckz28cshrr.pdf
JLL,JLL,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612mr628np0w5.pdf
KNG,KNG,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612jk0mpx8039.pdf
KZR,KZR,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612lr6pkmvwcp.pdf
LEG,LEG,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612m1sqbzvv9k.pdf
LIT,LIT,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/06128xqtnkr2kc.pdf
M2M,M2M,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/06121xxd9b9yfq.pdf
MCA,MCA,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612m72d85hq9d.pdf
MOH,MOH,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612md0z9xnm04.pdf
MOM,MOM,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612cmk4tjdzt7.pdf
NOR,NOR,2024-03-01,Advanced Share Registry,Automic,Change of share registry details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/06127cmpdvj8m2.pdf
NXM,NXM,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0611tbl8z83hzr.pdf
OKJ,OKJ,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0611zckw6v508b.pdf
PCL,PCL,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0611kvj0qksbql.pdf
PWN,PWN,2024-03-01,Advanced Share Registry,Automic,Details of Share Registry address,address_only,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612hnvkwfsbcx.pdf
RND,RND,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612mjqhrw9dc5.pdf
SFM,SFM,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0611zfxmfk57hv.pdf
SHO,SHO,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0612kmjr74kn84.pdf
OJC,SPG,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/061298h6ll66vg.pdf
SRN,SRN,2024-03-01,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/0611r19ybpd7nx.pdf
TMS,TMS,2024-03-01,Advanced Share Registry,Automic,Change of share registry details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240301/pdf/061270xv8wbsc5.pdf
3DP,3DP,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/0610xzlm1wm16s.pdf
ASN,ASN,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/060zjxhgybr066.pdf
CAZ,CAZ,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/060zhqp1bb6z5s.pdf
CZN,CZN,2024-02-29,Advanced Share Registry,Automic,Share registry change,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/0610fs3tm16rpg.pdf
GED,GED,2024-02-29,Advanced Share Registry,Automic,Change in Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/06112b57j9bvzl.pdf
GLN,GLN,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/060zgy8g3r8ywj.pdf
HYT,HYT,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/06101fyxg0ddfc.pdf
LVE,LVE,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/060zqmx4y1gxp3.pdf
MAT,MAT,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry Address,address_only,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/06103p8jjg9ptx.pdf
MLS,MLS,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/061126wq4q6nps.pdf
KAI,PGL,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/060zqz5ctrz5yb.pdf
RDS,RDS,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/0610qhwwsn5wh3.pdf
SBR,SBR,2024-02-29,Advanced Share Registry,Automic,Change in Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/06112dnjgmwj4q.pdf
SCN,SCN,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/0610whbmd757wr.pdf
TBR,TBR,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/06103kvfs05pj3.pdf
MTB,TXR,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/0610cp0yjzfzpq.pdf
PVW,USM,2024-02-29,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240229/pdf/06106bf54jm7yc.pdf
BEL,BEL,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060y60103bl22r.pdf
BMH,BMH,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060xw90pc32904.pdf
BPH,BPH,2024-02-28,Advanced Share Registry,Automic,Details of Share Registry address,address_only,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060xs52n6yc0z7.pdf
GLV,CND,2024-02-28,Advanced Share Registry,Automic,CHANGE OF SHARE REGISTRY DETAILS,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060ykvt2khsxzk.pdf
CNJ,CNJ,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060xtfyhtf97k8.pdf
CXU,CXU,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060xk9cblky9sl.pdf
EDE,EDE,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060xtcrb4b9ltm.pdf
ERG,ERG,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060x0l5ljvxj1s.pdf
GGE,GGE,2024-02-28,Advanced Share Registry,Automic,CHANGE OF SHARE REGISTRY DETAILS,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060xsb7rmj6smx.pdf
LDR,LDR,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Provider,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060ygff29dtbg2.pdf
LDR,LDR,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Provider,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060yd4t56q7l0f.pdf
LEL,LEL,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060y75zyn3rqfc.pdf
SES,MCO,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060x0g4d9bmjbs.pdf
MPX,MPX,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060xwzf9hgdd9m.pdf
OEQ,OEQ,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060y6djw1v7n4z.pdf
OZZ,OZZ,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060yc4hg2yb1mx.pdf
QUE,QUE,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060y73jpnpwrgy.pdf
TAS,TAS,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060xtrcf95scyc.pdf
TYX,TYX,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060ylw4b5nxj5l.pdf
UOS,UOS,2024-02-28,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060y0fp5dr70jl.pdf
AUK,XEN,2024-02-28,Advanced Share Registry,Automic,Change of share registry details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240228/pdf/060y9xsqq87sm6.pdf
CHR,CHR,2024-02-27,Advanced Share Registry,Automic,Change of Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240227/pdf/060wmdc32yb617.pdf
CT1,CT1,2024-02-27,Advanced Share Registry,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240227/pdf/060wd2xb97230n.pdf
CYQ,CYQ,2024-02-27,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240227/pdf/060wm4m6dpqhxp.pdf
INF,INF,2024-02-27,Advanced Share Registry,Automic,Change of Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240227/pdf/060wmvgfmxcbjc.pdf
KBC,KBC,2024-02-27,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240227/pdf/060w7zf30lmz70.pdf
ROG,ROG,2024-02-27,Advanced Share Registry,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240227/pdf/060wbpjgtsf7r8.pdf
SVR,SVR,2024-02-23,MUFG Corporate Markets,Computershare,Change of Registrar to Computershare,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240223/pdf/060qys7sz74lgh.pdf
CHL,CHL,2024-02-02,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240202/pdf/0600rvpw6kdqrd.pdf
CBH,BHM,2024-01-24,Automic,Xcend,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240124/pdf/05zphyg1pygdj7.pdf
NXD,NXD,2024-01-15,Advanced Share Registry,MUFG Corporate Markets,Change in Company Share Registry,registry_other,from_to,https://announcements.asx.com.au/asxpdf/20240115/pdf/05zfn20vcq7rxy.pdf
CIA,CIA,2024-01-12,Automic,Computershare,Change of Share Registrar,provider_change,prior_doc+next_doc,https://announcements.asx.com.au/asxpdf/20240112/pdf/05zclxzyt315jm.pdf
VSR,VSR,2023-12-15,MUFG Corporate Markets,Automic,Share Registry changing to Automic,registry_other,from_to,https://announcements.asx.com.au/asxpdf/20231215/pdf/05yln57f9045zy.pdf
AT1,AT1,2023-12-13,MUFG Corporate Markets,Boardroom,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20231213/pdf/05yhr288wxp5qc.pdf
TRI,TRI,2023-12-12,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20231212/pdf/05ygxbq051h632.pdf
NOU,NOU,2023-12-11,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20231211/pdf/05ydl9ywngkpj5.pdf
PCI,PCI,2023-11-13,Automic,MUFG Corporate Markets,Change of Unit Registry,registry_other,from_to,https://announcements.asx.com.au/asxpdf/20231113/pdf/05x82c3gpr4595.pdf
BEN,BEN,2023-11-06,Boardroom,MUFG Corporate Markets,Share Registry with Link Market Services,registry_other,from_to,https://announcements.asx.com.au/asxpdf/20231106/pdf/05x0fck6dxc706.pdf
PCI,PCI,2023-11-03,Automic,MUFG Corporate Markets,Change of Unit Registry,registry_other,from_to,https://announcements.asx.com.au/asxpdf/20231103/pdf/05wy25dbg6jn10.pdf
PAR,PAR,2023-09-22,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20230922/pdf/05v5qzcbm07fmn.pdf
VBS,VBS,2023-09-22,Boardroom,Computershare,Change of Share Registrar to Computershare,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20230922/pdf/05v5k5qhl9hgxt.pdf
CBE,CBE,2023-09-18,Boardroom,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20230918/pdf/05tzngqqyphxm5.pdf
ZLD,ZLD,2023-09-15,Computershare,Automic,Change of registry address notification,address_only,two_brands,https://announcements.asx.com.au/asxpdf/20230915/pdf/05ty3wm8fwxm01.pdf
ODA,ODA,2023-09-01,Computershare,Automic,Share Registry change,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20230901/pdf/05tdjj0c7g9bts.pdf
ERG,ERG,2023-08-11,Computershare,Advanced Share Registry,Change of Share Registry,provider_change,appoint_plus_one,https://announcements.asx.com.au/asxpdf/20230811/pdf/05sk49scssymch.pdf
SNS,SNS,2023-08-11,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20230811/pdf/05sjxrz4skkwg9.pdf
DC2,AI1,2023-08-04,MUFG Corporate Markets,Xcend,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20230804/pdf/05sbhhl512mgy2.pdf
COD,COD,2023-08-04,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20230804/pdf/05sbvwzxdmkr1l.pdf
HLO,HLO,2023-07-28,Automic,Computershare,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2lhdsjw51yg.pdf
