code,current_code,announced_on,old_registry,new_registry,headline,classification,method,pdf_url
MGT,MGT,2026-02-13,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260213/pdf/06w8qx77fkk9kv.pdf
MX1,MX1,2026-02-13,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260213/pdf/06w8q2kb27v353.pdf
XST,XST,2026-02-05,Automic,Boardroom,Notification of Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260205/pdf/06vzym96rfxy03.pdf
BFG,BFG,2026-01-16,Computershare,Automic,Change of share registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260116/pdf/06vbd63xbk0f8c.pdf
CAE,CAE,2026-01-16,Boardroom,Xcend,Change of Share Registry Details,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20260116/pdf/06v9s8tgfdvsh8.pdf
POD,POD,2026-01-16,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260116/pdf/06vbckcjgkv0pc.pdf
ADS,ADS,2026-01-15,Computershare,Boardroom,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260115/pdf/06v90s5g8lp4gp.pdf
AAM,AAM,2025-12-08,Automic,Computershare,AuMEGA Metals Announces Capital Market Changes,registry_other,from_to,https://announcements.asx.com.au/asxpdf/20251208/pdf/06t2mdm7g7cx1k.pdf
DAI,DAI,2025-12-08,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20251208/pdf/06t23pcbx4nhs1.pdf
IND,IND,2025-12-05,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20251205/pdf/06sz6835757354.pdf
FGH,FGH,2025-12-04,MUFG Corporate Markets,Boardroom,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20251204/pdf/06sxyhh0bhhn8y.pdf
IMC,IMC,2025-12-04,Automic,Boardroom,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20251204/pdf/06sxxfrdl6bspn.pdf
EFE,EFE,2025-11-28,Automic,Computershare,Change of share registry details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20251128/pdf/06snpzyz0crqgv.pdf
CPO,CPO,2025-11-21,Computershare,Automic,CPO Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20251121/pdf/06sb41qzx8jlck.pdf
KFM,KFM,2025-10-31,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20251031/pdf/06rc0srx99d07x.pdf
WYX,WYX,2025-10-24,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20251024/pdf/06r0gp1cmt6wvm.pdf
MFD,MFD,2025-10-01,MUFG Corporate Markets,Xcend,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20251001/pdf/06pzzh3f7ds5zz.pdf
VML,VML,2025-09-12,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20250912/pdf/06p4zzj2vz2v9n.pdf
NUC,NUC,2025-09-09,Automic,Xcend,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250909/pdf/06p08lkr7hkpmv.pdf
EMU,EMU,2025-09-05,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20250905/pdf/06nx21lvgfq5tz.pdf
SPN,SPN,2025-09-05,MUFG Corporate Markets,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20250905/pdf/06nwxf2bx5j2ff.pdf
ATG,ATG,2025-09-01,MUFG Corporate Markets,Boardroom,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250901/pdf/06npl754kh8s6p.pdf
ODE,ODE,2025-08-22,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20250822/pdf/06n6qxg7m1l1vh.pdf
CPM,CPM,2025-08-21,Automic,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250821/pdf/06n4fxsj2c7yv0.pdf
CTN,CTN,2025-08-15,Boardroom,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250815/pdf/06mxy52pzk7x39.pdf
GDG,GDG,2025-08-15,Boardroom,Automic,Change of share registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250815/pdf/06mxv555xgbrj7.pdf
FL1,FL1,2025-08-11,Automic,Xcend,Change of Share Registry,provider_change,two_brands,https://announcements.asx.com.au/asxpdf/20250811/pdf/06mrd8j7l5sjz2.pdf
GL1,GL1,2025-08-11,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250811/pdf/06mqp00bvgm33f.pdf
5GN,5GN,2025-08-01,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250801/pdf/06mf332hdztblz.pdf
ALK,ALK,2025-07-25,Automic,Computershare,Change of Registrar,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250725/pdf/06m4lc79xq3snh.pdf
CTE,CTE,2025-07-14,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250714/pdf/06lrsnjr1khc2m.pdf
ASE,VMS,2025-07-14,MUFG Corporate Markets,Xcend,Change of Share Registry and Registered Address,address_only,two_brands,https://announcements.asx.com.au/asxpdf/20250714/pdf/06lrvn6lzzg820.pdf
C1X,C1X,2025-06-27,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20250627/pdf/06l5p7lc7m050d.pdf
GML,GML,2025-06-23,Automic,Xcend,Change of Share Registry,provider_change,two_brands,https://announcements.asx.com.au/asxpdf/20250623/pdf/06l0054g5vkk9k.pdf
STK,STK,2025-06-23,Automic,Xcend,Change of Share Registry,provider_change,two_brands,https://announcements.asx.com.au/asxpdf/20250623/pdf/06kzz45dp0rwxf.pdf
SVL,SVL,2025-06-23,Automic,Xcend,Change of Share Registry,provider_change,two_brands,https://announcements.asx.com.au/asxpdf/20250623/pdf/06kzzp7wr94nbj.pdf
IMD,IMD,2025-06-20,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250620/pdf/06ky8bgfdp1gmf.pdf
HTG,NS1,2025-06-13,Computershare,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20250613/pdf/06kqs2hjwvc8s3.pdf
STN,STN,2025-06-13,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250613/pdf/06kq5n7s9wmjy9.pdf
WIN,WIN,2025-06-13,Computershare,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20250613/pdf/06kpphwm2sjr1l.pdf
CVC,CVC,2025-06-06,Registry Direct,Computershare,Change of Registrar,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250606/pdf/06khvbn2dbkvts.pdf
MYE,MYE,2025-06-06,MUFG Corporate Markets,Computershare,Change of Registry notification,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250606/pdf/06khspyxbd9qg5.pdf
ARX,ARX,2025-05-30,Boardroom,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250530/pdf/06k8fz748gxpgb.pdf
KCN,KCN,2025-05-30,Automic,MUFG Corporate Markets,Change of Share Register Notification (KCN),provider_change,one_brand+prior_doc,https://announcements.asx.com.au/asxpdf/20250530/pdf/06k8cxnp454shc.pdf
MLG,MLG,2025-05-30,MUFG Corporate Markets,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250530/pdf/06k8lg1mtw0q12.pdf
AQI,SGC,2025-05-16,Automic,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250516/pdf/06jtl05k5fnq4c.pdf
HE8,HE8,2025-05-09,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250509/pdf/06jlg0qh7bb2dl.pdf
ABB,ABB,2025-05-05,MUFG Corporate Markets,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250505/pdf/06jdfv6zrw0kwq.pdf
NST,NST,2025-04-04,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250404/pdf/06hdp98gqppjr7.pdf
NHE,NHE,2025-03-28,Automic,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250328/pdf/06h3cb85qqt5n0.pdf
NVO,NVO,2025-03-28,MUFG Corporate Markets,Automic,Change in Australian Shareholder registry services,registry_other,from_to,https://announcements.asx.com.au/asxpdf/20250328/pdf/06h3xb6td2fh06.pdf
PWN,PWN,2025-03-28,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20250328/pdf/06h367wmgr0s39.pdf
AGN,AGN,2025-03-21,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250321/pdf/06gw9t5h797yqt.pdf
EMV,EMV,2025-03-21,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250321/pdf/06gwblr457bgdz.pdf
PNN,PNN,2025-03-14,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250314/pdf/06gmgxsfdght2x.pdf
WHK,WHK,2025-03-14,Automic,Computershare,Change of Registrar,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250314/pdf/06gmbp9n1wd3f4.pdf
